date,temperature_mean_c,temperature_max_c,temperature_min_c,precipitation_mm,wind_speed_max_kmh,latitude,longitude,timezone,source_name,source_url,data_status
2023-02-04,-2.5,0.7,-6.2,0.0,14.2,39.964848,119.66481,Asia/Shanghai,open_meteo_era5_land,"https://archive-api.open-meteo.com/v1/archive?latitude=39.935&longitude=119.600&start_date=2023-01-01&end_date=2025-12-31&daily=temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=Asia%2FShanghai",verified
2023-02-05,0.3,5.3,-2.6,0.0,18.2,39.964848,119.66481,Asia/Shanghai,open_meteo_era5_land,"https://archive-api.open-meteo.com/v1/archive?latitude=39.935&longitude=119.600&start_date=2023-01-01&end_date=2025-12-31&daily=temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=Asia%2FShanghai",verified
2023-02-06,-1.2,2.8,-3.9,0.0,21.4,39.964848,119.66481,Asia/Shanghai,open_meteo_era5_land,"https://archive-api.open-meteo.com/v1/archive?latitude=39.935&longitude=119.600&start_date=2023-01-01&end_date=2025-12-31&daily=temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=Asia%2FShanghai",verified
2023-02-07,-2.2,1.4,-4.4,0.0,11.8,39.964848,119.66481,Asia/Shanghai,open_meteo_era5_land,"https://archive-api.open-meteo.com/v1/archive?latitude=39.935&longitude=119.600&start_date=2023-01-01&end_date=2025-12-31&daily=temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=Asia%2FShanghai",verified
2023-02-08,-2.4,2.3,-5.6,0.0,13.0,39.964848,119.66481,Asia/Shanghai,open_meteo_era5_land,"https://archive-api.open-meteo.com/v1/archive?latitude=39.935&longitude=119.600&start_date=2023-01-01&end_date=2025-12-31&daily=temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=Asia%2FShanghai",verified
2023-02-09,-1.1,1.0,-3.3,0.2,10.1,39.964848,119.66481,Asia/Shanghai,open_meteo_era5_land,"https://archive-api.open-meteo.com/v1/archive?latitude=39.935&longitude=119.600&start_date=2023-01-01&end_date=2025-12-31&daily=temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=Asia%2FShanghai",verified
2023-02-10,0.4,7.1,-3.5,0.0,18.8,39.964848,119.66481,Asia/Shanghai,open_meteo_era5_land,"https://archive-api.open-meteo.com/v1/archive?latitude=39.935&longitude=119.600&start_date=2023-01-01&end_date=2025-12-31&daily=temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=Asia%2FShanghai",verified
2023-02-11,1.2,6.0,-2.5,0.0,21.6,39.964848,119.66481,Asia/Shanghai,open_meteo_era5_land,"https://archive-api.open-meteo.com/v1/archive?latitude=39.935&longitude=119.600&start_date=2023-01-01&end_date=2025-12-31&daily=temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=Asia%2FShanghai",verified
2023-02-12,0.6,2.4,-2.9,0.5,28.6,39.964848,119.66481,Asia/Shanghai,open_meteo_era5_land,"https://archive-api.open-meteo.com/v1/archive?latitude=39.935&longitude=119.600&start_date=2023-01-01&end_date=2025-12-31&daily=temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=Asia%2FShanghai",verified
2023-02-13,-1.7,4.0,-5.4,0.0,16.5,39.964848,119.66481,Asia/Shanghai,open_meteo_era5_land,"https://archive-api.open-meteo.com/v1/archive?latitude=39.935&longitude=119.600&start_date=2023-01-01&end_date=2025-12-31&daily=temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=Asia%2FShanghai",verified
