date,theme_attraction,theme_coastal_resort,theme_destination,source_keyword_count,theme_attraction_lag_1,theme_attraction_lag_2,theme_attraction_lag_3,theme_attraction_lag_7,theme_coastal_resort_lag_1,theme_coastal_resort_lag_2,theme_coastal_resort_lag_3,theme_coastal_resort_lag_7,theme_destination_lag_1,theme_destination_lag_2,theme_destination_lag_3,theme_destination_lag_7
2025-08-29,-0.2334825863541523,0.5432874476633871,-0.011213502397766861,10,-0.046770859768464346,-0.023854911290912606,0.4636696761971283,0.262100503268478,0.8129199822634315,0.6913954596267918,0.7096241380222877,0.9124181851721803,0.18277749478662292,0.25355618657905704,0.2505350846151009,0.7355160153938257
2025-08-30,0.3667818342007199,0.2972002893241916,-0.20708612964721768,10,-0.2334825863541523,-0.046770859768464346,-0.023854911290912606,0.71246698313602,0.5432874476633871,0.8129199822634315,0.6913954596267918,0.7559553622775067,-0.011213502397766861,0.18277749478662292,0.25355618657905704,0.44152818508897596
2025-08-31,-0.3410618605453655,0.573668578322547,-0.322925788619907,10,0.3667818342007199,-0.2334825863541523,-0.046770859768464346,0.3215776280913121,0.2972002893241916,0.5432874476633871,0.8129199822634315,0.3982175487658984,-0.20708612964721768,-0.011213502397766861,0.18277749478662292,0.2378157866672109
2025-09-01,-0.337686172756265,1.087869214728829,-0.19380259415163495,10,-0.3410618605453655,0.3667818342007199,-0.2334825863541523,0.4786250364001824,0.573668578322547,0.2972002893241916,0.5432874476633871,0.8888728089113314,-0.322925788619907,-0.20708612964721768,-0.011213502397766861,0.41416797890185675
2025-09-02,0.13102258625285976,0.8136795105299105,-0.2149863387601009,10,-0.337686172756265,-0.3410618605453655,0.3667818342007199,0.4636696761971283,1.087869214728829,0.573668578322547,0.2972002893241916,0.7096241380222877,-0.19380259415163495,-0.322925788619907,-0.20708612964721768,0.2505350846151009
2025-09-03,-0.9000636320637527,0.17035906882219887,0.06426315291448677,10,0.13102258625285976,-0.337686172756265,-0.3410618605453655,-0.023854911290912606,0.8136795105299105,1.087869214728829,0.573668578322547,0.6913954596267918,-0.2149863387601009,-0.19380259415163495,-0.322925788619907,0.25355618657905704
2025-09-04,-0.5069255205629071,0.2979598175906706,0.09757190081315284,10,-0.9000636320637527,0.13102258625285976,-0.337686172756265,-0.046770859768464346,0.17035906882219887,0.8136795105299105,1.087869214728829,0.8129199822634315,0.06426315291448677,-0.2149863387601009,-0.19380259415163495,0.18277749478662292
2025-09-05,-0.5152234544376907,0.27517396959630064,-0.010725000616206515,10,-0.5069255205629071,-0.9000636320637527,0.13102258625285976,-0.2334825863541523,0.2979598175906706,0.17035906882219887,0.8136795105299105,0.5432874476633871,0.09757190081315284,0.06426315291448677,-0.2149863387601009,-0.011213502397766861
2025-09-06,0.050100114755961184,0.7111431945552458,-0.14183817437370222,10,-0.5152234544376907,-0.5069255205629071,-0.9000636320637527,0.3667818342007199,0.27517396959630064,0.2979598175906706,0.17035906882219887,0.2972002893241916,-0.010725000616206515,0.09757190081315284,0.06426315291448677,-0.20708612964721768
2025-09-07,0.04811971521676319,1.6567558863215988,-0.07197139695457344,10,0.050100114755961184,-0.5152234544376907,-0.5069255205629071,-0.3410618605453655,0.7111431945552458,0.27517396959630064,0.2979598175906706,0.573668578322547,-0.14183817437370222,-0.010725000616206515,0.09757190081315284,-0.322925788619907
2025-09-08,-0.5032018445511481,5.0753926137435705,0.11496019598572031,10,0.04811971521676319,0.050100114755961184,-0.5152234544376907,-0.337686172756265,1.6567558863215988,0.7111431945552458,0.27517396959630064,1.087869214728829,-0.07197139695457344,-0.14183817437370222,-0.010725000616206515,-0.19380259415163495
2025-09-09,-0.8159825776942041,3.896604744168165,0.08117099255547333,10,-0.5032018445511481,0.04811971521676319,0.050100114755961184,0.13102258625285976,5.0753926137435705,1.6567558863215988,0.7111431945552458,0.8136795105299105,0.11496019598572031,-0.07197139695457344,-0.14183817437370222,-0.2149863387601009
2025-09-10,-0.1798804827362249,2.8788368670863074,0.027810096534108465,10,-0.8159825776942041,-0.5032018445511481,0.04811971521676319,-0.9000636320637527,3.896604744168165,5.0753926137435705,1.6567558863215988,0.17035906882219887,0.08117099255547333,0.11496019598572031,-0.07197139695457344,0.06426315291448677
2025-09-11,0.15080422590098358,1.3058538272083016,0.1291676189860769,10,-0.1798804827362249,-0.8159825776942041,-0.5032018445511481,-0.5069255205629071,2.8788368670863074,3.896604744168165,5.0753926137435705,0.2979598175906706,0.027810096534108465,0.08117099255547333,0.11496019598572031,0.09757190081315284
